6.500000000000000000e+00,0.000000000000000000e+00,1.427996660722633093e+00,0.000000000000000000e+00,2.000000000000000000e+00
6.537934182796502292e+00,2.663423082483108995e-01,1.431800743308838442e+00,1.040070784190151310e-01,3.380606735045728062e+00
6.589619596761438380e+00,6.518284693920977091e-01,1.443820950379055335e+00,1.403737367190991958e-01,4.398153862283111337e+00
6.646073210509900520e+00,1.125715781051891851e+00,1.460608599481233671e+00,1.392308465161855024e-01,5.146720017714507378e+00
6.700795497994472605e+00,1.665149615276570572e+00,1.478390428577591509e+00,1.219269828206707429e-01,5.697469861255923362e+00
6.750241972700293580e+00,2.253128951115314305e+00,1.494885436733930151e+00,1.010174963518196412e-01,6.103759712014050542e+00
6.793039140283310573e+00,2.877108977556722902e+00,1.509259374671448661e+00,8.246464286764795815e-02,6.405267564387663093e+00
6.828999710506039378e+00,3.527937475047899341e+00,1.521547328392865106e+00,6.814349359921238747e-02,6.631238775415121189e+00
6.858418158469179460e+00,4.199001510474685617e+00,1.532134437112796954e+00,5.782380863648260705e-02,6.802995112982391568e+00
6.881703259044630094e+00,4.885546743077872733e+00,1.541440402214582672e+00,5.046900351026707698e-02,6.935854308446130823e+00
6.899245242128230871e+00,5.584146437570848498e+00,1.549781654334035697e+00,4.496135384168549465e-02,7.040584240151518181e+00
6.911402467514230707e+00,6.292294135748192296e+00,1.557345029106387502e+00,4.042679485064024081e-02,7.124490446145888889e+00
6.918528360084605922e+00,7.008092480828389093e+00,1.564215368589056299e+00,3.632312012661704365e-02,7.192213993940549166e+00
6.920996993340201797e+00,7.730012760836476815e+00,1.570420633861393966e+00,3.241807460142494268e-02,7.246299191091108760e+00
6.919210744148800885e+00,8.456703394218962444e+00,1.575976259717518424e+00,2.872686902589277266e-02,7.287576078824927528e+00
6.913587285626438650e+00,9.186829297090266522e+00,1.580919642035167660e+00,2.542499206990980407e-02,7.315389965498858338e+00
6.904531750095019405e+00,9.918927121863475804e+00,1.585328353475833119e+00,2.273889546089622946e-02,7.327698454513225990e+00
6.892406005925934664e+00,1.065126340553907447e+01,1.589318365384745135e+00,2.083456857911729007e-02,7.321044534144914628e+00
6.877509712325480251e+00,1.138168340015808333e+01,1.593023258829436184e+00,1.972885786526168070e-02,7.290401371750095727e+00
6.860086480921148144e+00,1.210743745795627291e+01,1.596559285436983000e+00,1.923194709295736674e-02,7.228869554135642694e+00
6.840208890969139865e+00,1.283005070551370252e+01,1.600035344928539160e+00,1.923194709295736674e-02,7.228869554135642694e+00
